entity_id	external_id	source	url	name
PROTEIN:12214	Q8NGT9	UniProt	https://www.uniprot.org/uniprot/Q8NGT9	Olfactory receptor 2A1/2A42 (Olfactory receptor OR7-16)
PROTEIN:12215	Q6IF42	UniProt	https://www.uniprot.org/uniprot/Q6IF42	Olfactory receptor 2A2 (Olfactory receptor 2A17)
PROTEIN:12216	O95047	UniProt	https://www.uniprot.org/uniprot/O95047	Olfactory receptor 2A4 (Olfactory receptor 2A10)
PROTEIN:12217	Q96R48	UniProt	https://www.uniprot.org/uniprot/Q96R48	Olfactory receptor 2A5 (Olfactory receptor 2A26)
PROTEIN:12218	Q96R45	UniProt	https://www.uniprot.org/uniprot/Q96R45	Olfactory receptor 2A7 (Olfactory receptor OR7-18)
PROTEIN:12219	Q9GZK3	UniProt	https://www.uniprot.org/uniprot/Q9GZK3	Olfactory receptor 2B2 (Hs6M1-10)
PROTEIN:12220	O76000	UniProt	https://www.uniprot.org/uniprot/O76000	Putative olfactory receptor 2B3 (Hs6M1-1)
PROTEIN:12221	P58173	UniProt	https://www.uniprot.org/uniprot/P58173	Olfactory receptor 2B6 (Hs6M1-32)
PROTEIN:12222	Q5JQS5	UniProt	https://www.uniprot.org/uniprot/Q5JQS5	Olfactory receptor 2B11
PROTEIN:12223	Q8NGQ2	UniProt	https://www.uniprot.org/uniprot/Q8NGQ2	Olfactory receptor 6Q1 (Olfactory receptor OR11-226)
PROTEIN:12224	Q8NH40	UniProt	https://www.uniprot.org/uniprot/Q8NH40	Olfactory receptor 6S1 (Olfactory receptor OR14-37)
PROTEIN:12225	Q8NGN1	UniProt	https://www.uniprot.org/uniprot/Q8NGN1	Olfactory receptor 6T1 (Olfactory receptor OR11-277)
PROTEIN:12226	Q8N148	UniProt	https://www.uniprot.org/uniprot/Q8N148	Olfactory receptor 6V1 (Olfactory receptor OR7-3)
PROTEIN:12227	Q8NH79	UniProt	https://www.uniprot.org/uniprot/Q8NH79	Olfactory receptor 6X1 (Olfactory receptor OR11-270)
PROTEIN:12228	Q8NGX8	UniProt	https://www.uniprot.org/uniprot/Q8NGX8	Olfactory receptor 6Y1 (Olfactory receptor 6Y2)
PROTEIN:12229	Q15622	UniProt	https://www.uniprot.org/uniprot/Q15622	Olfactory receptor 7A5 (Olfactory receptor OR19-17)
PROTEIN:12230	O76100	UniProt	https://www.uniprot.org/uniprot/O76100	Olfactory receptor 7A10 (OST027)
PROTEIN:12231	O14581	UniProt	https://www.uniprot.org/uniprot/O14581	Olfactory receptor 7A17
PROTEIN:12232	O76099	UniProt	https://www.uniprot.org/uniprot/O76099	Olfactory receptor 7C1 (Olfactory receptor 7C4)
PROTEIN:12233	O60412	UniProt	https://www.uniprot.org/uniprot/O60412	Olfactory receptor 7C2 (Olfactory receptor 19-18)
PROTEIN:12234	Q96RA2	UniProt	https://www.uniprot.org/uniprot/Q96RA2	Olfactory receptor 7D2 (HTPCRH03)
PROTEIN:12235	Q8NG98	UniProt	https://www.uniprot.org/uniprot/Q8NG98	Olfactory receptor 7D4 (OR19-B)
PROTEIN:12236	Q8NGA0	UniProt	https://www.uniprot.org/uniprot/Q8NGA0	Olfactory receptor 7G1 (Olfactory receptor 19-15)
PROTEIN:12237	Q8NG99	UniProt	https://www.uniprot.org/uniprot/Q8NG99	Olfactory receptor 7G2 (OST260)
PROTEIN:12238	Q9P0S3	UniProt	https://www.uniprot.org/uniprot/Q9P0S3	ORM1-like protein 1 (Adoplin-1)
PROTEIN:12239	Q53FV1	UniProt	https://www.uniprot.org/uniprot/Q53FV1	ORM1-like protein 2 (Adoplin-2)
PROTEIN:12240	Q8N138	UniProt	https://www.uniprot.org/uniprot/Q8N138	ORM1-like protein 3
PROTEIN:12241	Q9NPF4	UniProt	https://www.uniprot.org/uniprot/Q9NPF4	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234)
PROTEIN:12242	Q9UJX0	UniProt	https://www.uniprot.org/uniprot/Q9UJX0	Oxidative stress-induced growth inhibitor 1 (Bone marrow stromal cell-derived growth inhibitor)
PROTEIN:12243	Q9Y236	UniProt	https://www.uniprot.org/uniprot/Q9Y236	Oxidative stress-induced growth inhibitor 2 (hT41)
PROTEIN:12244	Q9H4B0	UniProt	https://www.uniprot.org/uniprot/Q9H4B0	tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial (EC 2.3.1.234)
PROTEIN:12245	P83859	UniProt	https://www.uniprot.org/uniprot/P83859	 QRF-amide
PROTEIN:12246	P41217	UniProt	https://www.uniprot.org/uniprot/P41217	OX-2 membrane glycoprotein (CD antigen CD200)
PROTEIN:12247	E9PI22	UniProt	https://www.uniprot.org/uniprot/E9PI22	Proline-rich protein 23D1
PROTEIN:12248	P0DMB1	UniProt	https://www.uniprot.org/uniprot/P0DMB1	Proline-rich protein 23D2
PROTEIN:12249	Q969Q6	UniProt	https://www.uniprot.org/uniprot/Q969Q6	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma (Protein phosphatase subunit G5PR)
PROTEIN:12250	Q9H813	UniProt	https://www.uniprot.org/uniprot/Q9H813	Proton-activated chloride channel (PAC)
PROTEIN:12251	Q9BTK6	UniProt	https://www.uniprot.org/uniprot/Q9BTK6	PAXIP1-associated glutamate-rich protein 1 (Glutamate-rich coactivator interacting with SRC1)
PROTEIN:12252	Q8WX93	UniProt	https://www.uniprot.org/uniprot/Q8WX93	Palladin (SIH002)
PROTEIN:12253	Q8IXS6	UniProt	https://www.uniprot.org/uniprot/Q8IXS6	PALM2-AKAP2 fusion protein (A-kinase anchor protein 2)
PROTEIN:12254	Q8TE04	UniProt	https://www.uniprot.org/uniprot/Q8TE04	Pantothenate kinase 1 (hPanK)
PROTEIN:12255	Q9BZ23	UniProt	https://www.uniprot.org/uniprot/Q9BZ23	Pantothenate kinase 2, mitochondrial (hPanK2)
PROTEIN:12256	Q9H999	UniProt	https://www.uniprot.org/uniprot/Q9H999	Pantothenate kinase 3 (hPanK3)
PROTEIN:12257	Q9NVE7	UniProt	https://www.uniprot.org/uniprot/Q9NVE7	4'-phosphopantetheine phosphatase (EC 3.1.3.-)
PROTEIN:12258	Q7Z3H0	UniProt	https://www.uniprot.org/uniprot/Q7Z3H0	Photoreceptor ankyrin repeat protein (Ankyrin repeat domain-containing protein 33)
PROTEIN:12259	Q8TEW0	UniProt	https://www.uniprot.org/uniprot/Q8TEW0	Partitioning defective 3 homolog (PAR-3)
PROTEIN:12260	Q86TB9	UniProt	https://www.uniprot.org/uniprot/Q86TB9	Protein PAT1 homolog 1 (PAT1-like protein 1)
PROTEIN:12261	P40424	UniProt	https://www.uniprot.org/uniprot/P40424	Pre-B-cell leukemia transcription factor 1 (Homeobox protein PBX1)
PROTEIN:12262	P40425	UniProt	https://www.uniprot.org/uniprot/P40425	Pre-B-cell leukemia transcription factor 2 (Homeobox protein PBX2)
PROTEIN:12263	Q9UN70	UniProt	https://www.uniprot.org/uniprot/Q9UN70	Protocadherin gamma-C3 (PCDH-gamma-C3)
PROTEIN:12264	Q9Y5F7	UniProt	https://www.uniprot.org/uniprot/Q9Y5F7	Protocadherin gamma-C4 (PCDH-gamma-C4)
PROTEIN:12265	Q9Y5F6	UniProt	https://www.uniprot.org/uniprot/Q9Y5F6	Protocadherin gamma-C5 (PCDH-gamma-C5)
PROTEIN:12266	Q08174	UniProt	https://www.uniprot.org/uniprot/Q08174	Protocadherin-1 (Cadherin-like protein 1)
PROTEIN:12267	O60245	UniProt	https://www.uniprot.org/uniprot/O60245	Protocadherin-7 (Brain-heart protocadherin)
PROTEIN:12268	O95206	UniProt	https://www.uniprot.org/uniprot/O95206	Protocadherin-8 (Arcadlin)
PROTEIN:12269	Q9HC56	UniProt	https://www.uniprot.org/uniprot/Q9HC56	Protocadherin-9
PROTEIN:12270	Q4G0U5	UniProt	https://www.uniprot.org/uniprot/Q4G0U5	Cilia- and flagella-associated protein 221 (Primary ciliary dyskinesia protein 1)
PROTEIN:12271	Q9BQ51	UniProt	https://www.uniprot.org/uniprot/Q9BQ51	Programmed cell death 1 ligand 2 (PD-1 ligand 2)
PROTEIN:12272	A5PLL7	UniProt	https://www.uniprot.org/uniprot/A5PLL7	Plasmanylethanolamine desaturase 1 (EC 1.14.19.77)
PROTEIN:12273	P04085	UniProt	https://www.uniprot.org/uniprot/P04085	Platelet-derived growth factor subunit A (PDGF subunit A)
PROTEIN:12274	Q9UBM1	UniProt	https://www.uniprot.org/uniprot/Q9UBM1	Phosphatidylethanolamine N-methyltransferase (PEAMT)
PROTEIN:12275	O15534	UniProt	https://www.uniprot.org/uniprot/O15534	Period circadian protein homolog 1 (hPER1)
PROTEIN:12276	P40855	UniProt	https://www.uniprot.org/uniprot/P40855	Peroxisomal biogenesis factor 19 (33 kDa housekeeping protein)
PROTEIN:12277	O43933	UniProt	https://www.uniprot.org/uniprot/O43933	Peroxisomal ATPase PEX1 (EC 3.6.4.-)
PROTEIN:12278	Q9BZM1	UniProt	https://www.uniprot.org/uniprot/Q9BZM1	Group XIIA secretory phospholipase A2 (GXII sPLA2)
PROTEIN:12279	Q96GW7	UniProt	https://www.uniprot.org/uniprot/Q96GW7	Brevican core protein (Brain-enriched hyaluronan-binding protein)
PROTEIN:12280	Q6PCE3	UniProt	https://www.uniprot.org/uniprot/Q6PCE3	Glucose 1,6-bisphosphate synthase (EC 2.7.1.106)
PROTEIN:12281	Q96G03	UniProt	https://www.uniprot.org/uniprot/Q96G03	Phosphopentomutase (EC 5.4.2.7)
PROTEIN:12282	Q8IWS0	UniProt	https://www.uniprot.org/uniprot/Q8IWS0	PHD finger protein 6 (PHD-like zinc finger protein)
PROTEIN:12283	Q9BWX1	UniProt	https://www.uniprot.org/uniprot/Q9BWX1	PHD finger protein 7 (Testis development protein NYD-SP6)
PROTEIN:12284	C9JFL3	UniProt	https://www.uniprot.org/uniprot/C9JFL3	Proline, histidine and glycine-rich protein 1
PROTEIN:12285	Q92561	UniProt	https://www.uniprot.org/uniprot/Q92561	Phytanoyl-CoA hydroxylase-interacting protein (Phytanoyl-CoA hydroxylase-associated protein 1)
PROTEIN:12286	Q9HB75	UniProt	https://www.uniprot.org/uniprot/Q9HB75	p53-induced death domain-containing protein 1 (EC 3.4.21.-)
PROTEIN:12287	Q92508	UniProt	https://www.uniprot.org/uniprot/Q92508	Piezo-type mechanosensitive ion channel component 1 (Membrane protein induced by beta-amyloid treatment)
PROTEIN:12288	Q9GZU8	UniProt	https://www.uniprot.org/uniprot/Q9GZU8	PSME3-interacting protein (NEFA-interacting nuclear protein NIP30)
PROTEIN:12289	Q96J94	UniProt	https://www.uniprot.org/uniprot/Q96J94	Piwi-like protein 1 (EC 3.1.26.-)
PROTEIN:12290	Q8TC59	UniProt	https://www.uniprot.org/uniprot/Q8TC59	Piwi-like protein 2 (EC 3.1.26.-)
PROTEIN:12291	Q7Z3Z3	UniProt	https://www.uniprot.org/uniprot/Q7Z3Z3	Piwi-like protein 3
PROTEIN:12292	Q7Z3Z4	UniProt	https://www.uniprot.org/uniprot/Q7Z3Z4	Piwi-like protein 4
PROTEIN:12293	Q8NG27	UniProt	https://www.uniprot.org/uniprot/Q8NG27	E3 ubiquitin-protein ligase Praja-1 (Praja1)
PROTEIN:12294	Q6P4A8	UniProt	https://www.uniprot.org/uniprot/Q6P4A8	Phospholipase B-like 1 (EC 3.1.1.-)
PROTEIN:12295	Q9Y3B1	UniProt	https://www.uniprot.org/uniprot/Q9Y3B1	PRELI domain containing protein 3B (Protein slowmo homolog 2)
PROTEIN:12296	Q8IV08	UniProt	https://www.uniprot.org/uniprot/Q8IV08	5'-3' exonuclease PLD3 (EC 3.1.16.1)
PROTEIN:12297	Q96BZ4	UniProt	https://www.uniprot.org/uniprot/Q96BZ4	5'-3' exonuclease PLD4 (EC 3.1.16.1)
PROTEIN:12298	Q8N7P1	UniProt	https://www.uniprot.org/uniprot/Q8N7P1	Inactive phospholipase D5 (Inactive PLD 5)
PROTEIN:12299	Q496M5	UniProt	https://www.uniprot.org/uniprot/Q496M5	Inactive serine/threonine-protein kinase PLK5 (Polo-like kinase 5)
PROTEIN:12300	Q9Y342	UniProt	https://www.uniprot.org/uniprot/Q9Y342	Plasmolipin (Plasma membrane proteolipid)
PROTEIN:12301	O14494	UniProt	https://www.uniprot.org/uniprot/O14494	Phospholipid phosphatase 1 (EC 3.1.3.-)
PROTEIN:12302	Q14651	UniProt	https://www.uniprot.org/uniprot/Q14651	Plastin-1 (Intestine-specific plastin)
PROTEIN:12303	P13796	UniProt	https://www.uniprot.org/uniprot/P13796	Plastin-2 (L-plastin)
PROTEIN:12304	P54277	UniProt	https://www.uniprot.org/uniprot/P54277	PMS1 protein homolog 1 (DNA mismatch repair protein PMS1)
PROTEIN:12305	Q8WVV4	UniProt	https://www.uniprot.org/uniprot/Q8WVV4	Protein POF1B (Premature ovarian failure protein 1B)
PROTEIN:12306	Q5K4E3	UniProt	https://www.uniprot.org/uniprot/Q5K4E3	Polyserase-2 (EC 3.4.21.-)
PROTEIN:12307	Q9NUX5	UniProt	https://www.uniprot.org/uniprot/Q9NUX5	Protection of telomeres protein 1 (hPot1)
PROTEIN:12308	Q6S8J7	UniProt	https://www.uniprot.org/uniprot/Q6S8J7	POTE ankyrin domain family member A (ANKRD26-like family A member 1)
PROTEIN:12309	A0A0A6YYL3	UniProt	https://www.uniprot.org/uniprot/A0A0A6YYL3	POTE ankyrin domain family member B (ANKRD26-like family B member 1)
PROTEIN:12310	B2RU33	UniProt	https://www.uniprot.org/uniprot/B2RU33	POTE ankyrin domain family member C (ANKRD26-like family B member 2)
PROTEIN:12311	Q86YR6	UniProt	https://www.uniprot.org/uniprot/Q86YR6	POTE ankyrin domain family member D (ANKRD26-like family B member 3)
PROTEIN:12312	Q6S8J3	UniProt	https://www.uniprot.org/uniprot/Q6S8J3	POTE ankyrin domain family member E (ANKRD26-like family C member 1A)
PROTEIN:12313	A5A3E0	UniProt	https://www.uniprot.org/uniprot/A5A3E0	POTE ankyrin domain family member F (ANKRD26-like family C member 1B)
